sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
64;SDS011;64;-6.778;39.252;2019-08-07T13:48:24.538658+00:00;P2;5.73
64;SDS011;64;-6.778;39.252;2019-08-07T13:48:24.538658+00:00;P1;25.83
63;DHT22;64;-6.778;39.252;2019-08-07T13:48:28.644625+00:00;humidity;82.00
63;DHT22;64;-6.778;39.252;2019-08-07T13:48:28.644625+00:00;temperature;28.70
64;SDS011;64;-6.778;39.252;2019-08-07T13:51:01.026073+00:00;P2;5.47
64;SDS011;64;-6.778;39.252;2019-08-07T13:51:01.026073+00:00;P1;29.57
63;DHT22;64;-6.778;39.252;2019-08-07T13:51:03.760967+00:00;humidity;82.10
63;DHT22;64;-6.778;39.252;2019-08-07T13:51:03.760967+00:00;temperature;28.80
64;SDS011;64;-6.778;39.252;2019-08-07T13:53:34.438960+00:00;P2;3.70
64;SDS011;64;-6.778;39.252;2019-08-07T13:53:34.438960+00:00;P1;22.50
63;DHT22;64;-6.778;39.252;2019-08-07T13:53:37.069522+00:00;humidity;82.00
63;DHT22;64;-6.778;39.252;2019-08-07T13:53:37.069522+00:00;temperature;28.70
63;DHT22;64;-6.778;39.252;2019-08-07T13:56:55.851667+00:00;humidity;82.00
63;DHT22;64;-6.778;39.252;2019-08-07T13:56:55.851667+00:00;temperature;28.70
64;SDS011;64;-6.778;39.252;2019-08-07T13:59:49.435665+00:00;P2;3.10
64;SDS011;64;-6.778;39.252;2019-08-07T13:59:49.435665+00:00;P1;21.47
63;DHT22;64;-6.778;39.252;2019-08-07T14:00:06.194944+00:00;humidity;82.00
63;DHT22;64;-6.778;39.252;2019-08-07T14:00:06.194944+00:00;temperature;28.80
64;SDS011;64;-6.778;39.252;2019-08-07T14:02:43.691357+00:00;P2;4.50
64;SDS011;64;-6.778;39.252;2019-08-07T14:02:43.691357+00:00;P1;19.57
63;DHT22;64;-6.778;39.252;2019-08-07T14:02:48.171446+00:00;humidity;81.90
63;DHT22;64;-6.778;39.252;2019-08-07T14:02:48.171446+00:00;temperature;28.70
64;SDS011;64;-6.778;39.252;2019-08-07T14:05:19.966331+00:00;P2;4.20
64;SDS011;64;-6.778;39.252;2019-08-07T14:05:19.966331+00:00;P1;24.43
63;DHT22;64;-6.778;39.252;2019-08-07T14:05:21.858813+00:00;humidity;81.70
63;DHT22;64;-6.778;39.252;2019-08-07T14:05:21.858813+00:00;temperature;28.70
64;SDS011;64;-6.778;39.252;2019-08-07T14:07:51.644135+00:00;P2;4.10
64;SDS011;64;-6.778;39.252;2019-08-07T14:07:51.644135+00:00;P1;27.50
63;DHT22;64;-6.778;39.252;2019-08-07T14:07:56.302172+00:00;humidity;81.70
63;DHT22;64;-6.778;39.252;2019-08-07T14:07:56.302172+00:00;temperature;28.70
64;SDS011;64;-6.778;39.252;2019-08-07T14:10:27.309588+00:00;P2;4.53
64;SDS011;64;-6.778;39.252;2019-08-07T14:10:27.309588+00:00;P1;21.33
63;DHT22;64;-6.778;39.252;2019-08-07T14:10:29.311591+00:00;humidity;81.70
63;DHT22;64;-6.778;39.252;2019-08-07T14:10:29.311591+00:00;temperature;28.70
64;SDS011;64;-6.778;39.252;2019-08-07T14:13:00.780572+00:00;P2;4.30
64;SDS011;64;-6.778;39.252;2019-08-07T14:13:00.780572+00:00;P1;43.10
63;DHT22;64;-6.778;39.252;2019-08-07T14:13:07.409292+00:00;humidity;81.60
63;DHT22;64;-6.778;39.252;2019-08-07T14:13:07.409292+00:00;temperature;28.70
64;SDS011;64;-6.778;39.252;2019-08-07T14:15:43.808292+00:00;P2;3.23
64;SDS011;64;-6.778;39.252;2019-08-07T14:15:43.808292+00:00;P1;21.17
64;SDS011;64;-6.778;39.252;2019-08-07T14:19:01.830626+00:00;P2;3.97
64;SDS011;64;-6.778;39.252;2019-08-07T14:19:01.830626+00:00;P1;28.67
63;DHT22;64;-6.778;39.252;2019-08-07T14:19:14.125105+00:00;humidity;81.70
63;DHT22;64;-6.778;39.252;2019-08-07T14:19:14.125105+00:00;temperature;28.70
64;SDS011;64;-6.778;39.252;2019-08-07T14:21:54.239845+00:00;P2;3.07
64;SDS011;64;-6.778;39.252;2019-08-07T14:21:54.239845+00:00;P1;18.80
63;DHT22;64;-6.778;39.252;2019-08-07T14:21:57.062419+00:00;humidity;81.70
63;DHT22;64;-6.778;39.252;2019-08-07T14:21:57.062419+00:00;temperature;28.70
63;DHT22;64;-6.778;39.252;2019-08-07T14:24:56.862457+00:00;humidity;81.70
63;DHT22;64;-6.778;39.252;2019-08-07T14:24:56.862457+00:00;temperature;28.60
64;SDS011;64;-6.778;39.252;2019-08-07T14:27:32.030461+00:00;P2;3.40
64;SDS011;64;-6.778;39.252;2019-08-07T14:27:32.030461+00:00;P1;23.13
63;DHT22;64;-6.778;39.252;2019-08-07T14:27:35.441768+00:00;humidity;81.70
63;DHT22;64;-6.778;39.252;2019-08-07T14:27:35.441768+00:00;temperature;28.60
64;SDS011;64;-6.778;39.252;2019-08-07T14:30:06.645877+00:00;P2;3.70
64;SDS011;64;-6.778;39.252;2019-08-07T14:30:06.645877+00:00;P1;17.30
63;DHT22;64;-6.778;39.252;2019-08-07T14:30:13.331729+00:00;humidity;81.80
63;DHT22;64;-6.778;39.252;2019-08-07T14:30:13.331729+00:00;temperature;28.60
64;SDS011;64;-6.778;39.252;2019-08-07T14:32:47.510555+00:00;P2;3.60
