sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
31;SDS011;23;-6.913;39.290;2018-12-01T00:00:56.403226+00:00;P2;7.20
31;SDS011;23;-6.913;39.290;2018-12-01T00:00:56.403226+00:00;P1;8.50
32;DHT22;23;-6.913;39.290;2018-12-01T00:00:57.804041+00:00;temperature;30.00
32;DHT22;23;-6.913;39.290;2018-12-01T00:00:57.804041+00:00;humidity;82.60
31;SDS011;23;-6.913;39.290;2018-12-01T00:03:26.416086+00:00;P2;7.50
31;SDS011;23;-6.913;39.290;2018-12-01T00:03:26.416086+00:00;P1;8.33
32;DHT22;23;-6.913;39.290;2018-12-01T00:03:27.935927+00:00;temperature;30.00
32;DHT22;23;-6.913;39.290;2018-12-01T00:03:27.935927+00:00;humidity;82.60
31;SDS011;23;-6.913;39.290;2018-12-01T00:05:56.430259+00:00;P2;6.30
31;SDS011;23;-6.913;39.290;2018-12-01T00:05:56.430259+00:00;P1;8.00
32;DHT22;23;-6.913;39.290;2018-12-01T00:05:57.949644+00:00;humidity;82.60
32;DHT22;23;-6.913;39.290;2018-12-01T00:05:57.949644+00:00;temperature;30.00
31;SDS011;23;-6.913;39.290;2018-12-01T00:08:26.347478+00:00;P2;6.90
31;SDS011;23;-6.913;39.290;2018-12-01T00:08:26.347478+00:00;P1;7.53
32;DHT22;23;-6.913;39.290;2018-12-01T00:08:27.866644+00:00;temperature;30.00
32;DHT22;23;-6.913;39.290;2018-12-01T00:08:27.866644+00:00;humidity;82.60
31;SDS011;23;-6.913;39.290;2018-12-01T00:10:56.382517+00:00;P2;7.60
31;SDS011;23;-6.913;39.290;2018-12-01T00:10:56.382517+00:00;P1;9.50
32;DHT22;23;-6.913;39.290;2018-12-01T00:10:57.885176+00:00;humidity;82.60
32;DHT22;23;-6.913;39.290;2018-12-01T00:10:57.885176+00:00;temperature;30.00
31;SDS011;23;-6.913;39.290;2018-12-01T00:13:26.508851+00:00;P2;6.80
31;SDS011;23;-6.913;39.290;2018-12-01T00:13:26.508851+00:00;P1;7.40
32;DHT22;23;-6.913;39.290;2018-12-01T00:13:28.215759+00:00;humidity;82.70
32;DHT22;23;-6.913;39.290;2018-12-01T00:13:28.215759+00:00;temperature;30.00
31;SDS011;23;-6.913;39.290;2018-12-01T00:15:56.820395+00:00;P2;7.60
31;SDS011;23;-6.913;39.290;2018-12-01T00:15:56.820395+00:00;P1;8.40
32;DHT22;23;-6.913;39.290;2018-12-01T00:15:58.235386+00:00;humidity;82.70
32;DHT22;23;-6.913;39.290;2018-12-01T00:15:58.235386+00:00;temperature;30.10
31;SDS011;23;-6.913;39.290;2018-12-01T00:18:27.209835+00:00;P2;6.97
31;SDS011;23;-6.913;39.290;2018-12-01T00:18:27.209835+00:00;P1;7.77
32;DHT22;23;-6.913;39.290;2018-12-01T00:18:28.920234+00:00;temperature;30.00
32;DHT22;23;-6.913;39.290;2018-12-01T00:18:28.920234+00:00;humidity;82.60
31;SDS011;23;-6.913;39.290;2018-12-01T00:20:57.560950+00:00;P2;7.70
31;SDS011;23;-6.913;39.290;2018-12-01T00:20:57.560950+00:00;P1;8.40
32;DHT22;23;-6.913;39.290;2018-12-01T00:20:59.066077+00:00;humidity;82.50
32;DHT22;23;-6.913;39.290;2018-12-01T00:20:59.066077+00:00;temperature;30.00
31;SDS011;23;-6.913;39.290;2018-12-01T00:23:27.582209+00:00;P2;6.90
31;SDS011;23;-6.913;39.290;2018-12-01T00:23:27.582209+00:00;P1;7.70
32;DHT22;23;-6.913;39.290;2018-12-01T00:23:29.133948+00:00;humidity;82.50
32;DHT22;23;-6.913;39.290;2018-12-01T00:23:29.133948+00:00;temperature;30.00
31;SDS011;23;-6.913;39.290;2018-12-01T00:25:58.524231+00:00;P2;7.43
31;SDS011;23;-6.913;39.290;2018-12-01T00:25:58.524231+00:00;P1;8.40
32;DHT22;23;-6.913;39.290;2018-12-01T00:26:00.086616+00:00;humidity;82.50
32;DHT22;23;-6.913;39.290;2018-12-01T00:26:00.086616+00:00;temperature;30.00
31;SDS011;23;-6.913;39.290;2018-12-01T00:28:28.648503+00:00;P2;7.30
31;SDS011;23;-6.913;39.290;2018-12-01T00:28:28.648503+00:00;P1;8.10
32;DHT22;23;-6.913;39.290;2018-12-01T00:28:30.175208+00:00;humidity;82.50
32;DHT22;23;-6.913;39.290;2018-12-01T00:28:30.175208+00:00;temperature;30.00
31;SDS011;23;-6.913;39.290;2018-12-01T00:30:58.695616+00:00;P2;5.97
31;SDS011;23;-6.913;39.290;2018-12-01T00:30:58.695616+00:00;P1;6.37
32;DHT22;23;-6.913;39.290;2018-12-01T00:31:00.309067+00:00;humidity;82.50
32;DHT22;23;-6.913;39.290;2018-12-01T00:31:00.309067+00:00;temperature;30.00
31;SDS011;23;-6.913;39.290;2018-12-01T00:33:28.891427+00:00;P2;7.00
31;SDS011;23;-6.913;39.290;2018-12-01T00:33:28.891427+00:00;P1;10.10
32;DHT22;23;-6.913;39.290;2018-12-01T00:33:30.332565+00:00;humidity;82.50
32;DHT22;23;-6.913;39.290;2018-12-01T00:33:30.332565+00:00;temperature;30.00
31;SDS011;23;-6.913;39.290;2018-12-01T00:35:58.712020+00:00;P2;6.80
31;SDS011;23;-6.913;39.290;2018-12-01T00:35:58.712020+00:00;P1;7.53
32;DHT22;23;-6.913;39.290;2018-12-01T00:36:00.244886+00:00;humidity;82.50
32;DHT22;23;-6.913;39.290;2018-12-01T00:36:00.244886+00:00;temperature;30.10
31;SDS011;23;-6.913;39.290;2018-12-01T00:38:28.759035+00:00;P2;6.67
31;SDS011;23;-6.913;39.290;2018-12-01T00:38:28.759035+00:00;P1;7.27
32;DHT22;23;-6.913;39.290;2018-12-01T00:38:30.136115+00:00;temperature;30.00
