sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
31;SDS011;23;-6.913;39.290;2018-07-01T00:01:40.419007+00:00;P2;6.37
31;SDS011;23;-6.913;39.290;2018-07-01T00:01:40.419007+00:00;P1;12.30
32;DHT22;23;-6.913;39.290;2018-07-01T00:01:41.898537+00:00;humidity;80.90
32;DHT22;23;-6.913;39.290;2018-07-01T00:01:41.898537+00:00;temperature;26.60
31;SDS011;23;-6.913;39.290;2018-07-01T00:04:17.937457+00:00;P2;6.17
31;SDS011;23;-6.913;39.290;2018-07-01T00:04:17.937457+00:00;P1;16.70
32;DHT22;23;-6.913;39.290;2018-07-01T00:04:19.341873+00:00;humidity;80.80
32;DHT22;23;-6.913;39.290;2018-07-01T00:04:19.341873+00:00;temperature;26.60
31;SDS011;23;-6.913;39.290;2018-07-01T00:06:55.376613+00:00;P2;6.17
31;SDS011;23;-6.913;39.290;2018-07-01T00:06:55.376613+00:00;P1;11.60
32;DHT22;23;-6.913;39.290;2018-07-01T00:06:56.886320+00:00;humidity;81.00
32;DHT22;23;-6.913;39.290;2018-07-01T00:06:56.886320+00:00;temperature;26.70
31;SDS011;23;-6.913;39.290;2018-07-01T00:09:32.546039+00:00;P2;6.90
31;SDS011;23;-6.913;39.290;2018-07-01T00:09:32.546039+00:00;P1;16.43
32;DHT22;23;-6.913;39.290;2018-07-01T00:09:34.173678+00:00;humidity;80.90
32;DHT22;23;-6.913;39.290;2018-07-01T00:09:34.173678+00:00;temperature;26.60
31;SDS011;23;-6.913;39.290;2018-07-01T00:12:10.659421+00:00;P2;6.73
31;SDS011;23;-6.913;39.290;2018-07-01T00:12:10.659421+00:00;P1;17.43
32;DHT22;23;-6.913;39.290;2018-07-01T00:12:12.172413+00:00;humidity;81.00
32;DHT22;23;-6.913;39.290;2018-07-01T00:12:12.172413+00:00;temperature;26.70
31;SDS011;23;-6.913;39.290;2018-07-01T00:14:48.160050+00:00;P2;6.30
31;SDS011;23;-6.913;39.290;2018-07-01T00:14:48.160050+00:00;P1;13.23
32;DHT22;23;-6.913;39.290;2018-07-01T00:14:49.664621+00:00;humidity;81.00
32;DHT22;23;-6.913;39.290;2018-07-01T00:14:49.664621+00:00;temperature;26.60
31;SDS011;23;-6.913;39.290;2018-07-01T00:17:25.415105+00:00;P2;5.70
