sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
23;SDS011;11;-6.818;39.285;2018-04-01T00:01:18.782209+00:00;P1;36.10
23;SDS011;11;-6.818;39.285;2018-04-01T00:01:18.782209+00:00;P2;16.87
33;SDS011;11;-6.818;39.285;2018-04-01T00:01:43.827417+00:00;P2;12.27
33;SDS011;11;-6.818;39.285;2018-04-01T00:01:43.827417+00:00;P1;18.97
34;DHT22;11;-6.818;39.285;2018-04-01T00:01:43.990383+00:00;humidity;72.80
34;DHT22;11;-6.818;39.285;2018-04-01T00:01:43.990383+00:00;temperature;30.30
23;SDS011;11;-6.818;39.285;2018-04-01T00:03:48.205512+00:00;P2;17.73
23;SDS011;11;-6.818;39.285;2018-04-01T00:03:48.205512+00:00;P1;35.00
33;SDS011;11;-6.818;39.285;2018-04-01T00:04:11.465533+00:00;P2;12.80
33;SDS011;11;-6.818;39.285;2018-04-01T00:04:11.465533+00:00;P1;21.23
34;DHT22;11;-6.818;39.285;2018-04-01T00:04:13.056630+00:00;humidity;72.80
34;DHT22;11;-6.818;39.285;2018-04-01T00:04:13.056630+00:00;temperature;30.30
23;SDS011;11;-6.818;39.285;2018-04-01T00:06:17.528859+00:00;P2;20.97
23;SDS011;11;-6.818;39.285;2018-04-01T00:06:17.528859+00:00;P1;37.67
33;SDS011;11;-6.818;39.285;2018-04-01T00:06:41.276112+00:00;P2;12.00
33;SDS011;11;-6.818;39.285;2018-04-01T00:06:41.276112+00:00;P1;19.17
34;DHT22;11;-6.818;39.285;2018-04-01T00:06:44.842440+00:00;humidity;72.80
34;DHT22;11;-6.818;39.285;2018-04-01T00:06:44.842440+00:00;temperature;30.30
23;SDS011;11;-6.818;39.285;2018-04-01T00:08:47.173283+00:00;P2;20.27
23;SDS011;11;-6.818;39.285;2018-04-01T00:08:47.173283+00:00;P1;39.87
33;SDS011;11;-6.818;39.285;2018-04-01T00:09:09.648976+00:00;P2;12.30
33;SDS011;11;-6.818;39.285;2018-04-01T00:09:09.648976+00:00;P1;21.77
34;DHT22;11;-6.818;39.285;2018-04-01T00:09:10.957826+00:00;humidity;72.80
34;DHT22;11;-6.818;39.285;2018-04-01T00:09:10.957826+00:00;temperature;30.30
23;SDS011;11;-6.818;39.285;2018-04-01T00:11:16.742678+00:00;P2;21.90
23;SDS011;11;-6.818;39.285;2018-04-01T00:11:16.742678+00:00;P1;38.47
33;SDS011;11;-6.818;39.285;2018-04-01T00:11:38.532971+00:00;P2;12.10
33;SDS011;11;-6.818;39.285;2018-04-01T00:11:38.532971+00:00;P1;20.83
34;DHT22;11;-6.818;39.285;2018-04-01T00:11:40.129885+00:00;humidity;72.80
34;DHT22;11;-6.818;39.285;2018-04-01T00:11:40.129885+00:00;temperature;30.30
23;SDS011;11;-6.818;39.285;2018-04-01T00:13:47.167973+00:00;P2;22.33
23;SDS011;11;-6.818;39.285;2018-04-01T00:13:47.167973+00:00;P1;34.23
33;SDS011;11;-6.818;39.285;2018-04-01T00:14:07.382639+00:00;P2;12.77
33;SDS011;11;-6.818;39.285;2018-04-01T00:14:07.382639+00:00;P1;18.17
34;DHT22;11;-6.818;39.285;2018-04-01T00:14:08.527766+00:00;humidity;72.80
34;DHT22;11;-6.818;39.285;2018-04-01T00:14:08.527766+00:00;temperature;30.30
23;SDS011;11;-6.818;39.285;2018-04-01T00:16:15.896337+00:00;P2;22.10
23;SDS011;11;-6.818;39.285;2018-04-01T00:16:15.896337+00:00;P1;41.10
33;SDS011;11;-6.818;39.285;2018-04-01T00:16:37.052423+00:00;P2;13.83
33;SDS011;11;-6.818;39.285;2018-04-01T00:16:37.052423+00:00;P1;26.77
34;DHT22;11;-6.818;39.285;2018-04-01T00:16:37.586232+00:00;humidity;72.90
34;DHT22;11;-6.818;39.285;2018-04-01T00:16:37.586232+00:00;temperature;30.30
23;SDS011;11;-6.818;39.285;2018-04-01T00:18:44.889430+00:00;P2;23.13
23;SDS011;11;-6.818;39.285;2018-04-01T00:18:44.889430+00:00;P1;39.53
33;SDS011;11;-6.818;39.285;2018-04-01T00:19:06.997143+00:00;P2;14.00
33;SDS011;11;-6.818;39.285;2018-04-01T00:19:06.997143+00:00;P1;21.73
34;DHT22;11;-6.818;39.285;2018-04-01T00:19:07.279708+00:00;humidity;72.70
34;DHT22;11;-6.818;39.285;2018-04-01T00:19:07.279708+00:00;temperature;30.20
23;SDS011;11;-6.818;39.285;2018-04-01T00:21:14.084337+00:00;P2;22.90
23;SDS011;11;-6.818;39.285;2018-04-01T00:21:14.084337+00:00;P1;39.60
33;SDS011;11;-6.818;39.285;2018-04-01T00:21:34.153966+00:00;P2;12.80
33;SDS011;11;-6.818;39.285;2018-04-01T00:21:34.153966+00:00;P1;17.10
34;DHT22;11;-6.818;39.285;2018-04-01T00:21:36.283594+00:00;humidity;72.80
34;DHT22;11;-6.818;39.285;2018-04-01T00:21:36.283594+00:00;temperature;30.30
23;SDS011;11;-6.818;39.285;2018-04-01T00:23:43.584538+00:00;P2;27.00
23;SDS011;11;-6.818;39.285;2018-04-01T00:23:43.584538+00:00;P1;53.33
33;SDS011;11;-6.818;39.285;2018-04-01T00:24:03.200537+00:00;P2;13.13
33;SDS011;11;-6.818;39.285;2018-04-01T00:24:03.200537+00:00;P1;18.23
34;DHT22;11;-6.818;39.285;2018-04-01T00:24:04.059413+00:00;humidity;72.80
34;DHT22;11;-6.818;39.285;2018-04-01T00:24:04.059413+00:00;temperature;30.30
23;SDS011;11;-6.818;39.285;2018-04-01T00:26:13.312930+00:00;P2;29.43
23;SDS011;11;-6.818;39.285;2018-04-01T00:26:13.312930+00:00;P1;61.70
33;SDS011;11;-6.818;39.285;2018-04-01T00:26:32.740903+00:00;P2;14.23
33;SDS011;11;-6.818;39.285;2018-04-01T00:26:32.740903+00:00;P1;21.67
34;DHT22;11;-6.818;39.285;2018-04-01T00:26:33.648337+00:00;humidity;73.00
34;DHT22;11;-6.818;39.285;2018-04-01T00:26:33.648337+00:00;temperature;30.30
23;SDS011;11;-6.818;39.285;2018-04-01T00:28:47.385679+00:00;P2;28.57
23;SDS011;11;-6.818;39.285;2018-04-01T00:28:47.385679+00:00;P1;49.53
33;SDS011;11;-6.818;39.285;2018-04-01T00:29:01.298918+00:00;P2;13.07
33;SDS011;11;-6.818;39.285;2018-04-01T00:29:01.298918+00:00;P1;20.60
34;DHT22;11;-6.818;39.285;2018-04-01T00:29:02.652431+00:00;humidity;72.80
34;DHT22;11;-6.818;39.285;2018-04-01T00:29:02.652431+00:00;temperature;30.20
23;SDS011;11;-6.818;39.285;2018-04-01T00:31:12.027474+00:00;P2;27.00
23;SDS011;11;-6.818;39.285;2018-04-01T00:31:12.027474+00:00;P1;50.37
33;SDS011;11;-6.818;39.285;2018-04-01T00:31:30.904486+00:00;P2;14.83
33;SDS011;11;-6.818;39.285;2018-04-01T00:31:30.904486+00:00;P1;23.60
