sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
67;SDS011;42;-6.772;39.269;2019-02-01T00:00:52.144743+00:00;P2;5.97
67;SDS011;42;-6.772;39.269;2019-02-01T00:00:52.144743+00:00;P1;20.43
68;DHT22;42;-6.772;39.269;2019-02-01T00:00:53.883382+00:00;humidity;99.90
68;DHT22;42;-6.772;39.269;2019-02-01T00:00:53.883382+00:00;temperature;30.80
67;SDS011;42;-6.772;39.269;2019-02-01T00:03:26.449379+00:00;P2;4.83
67;SDS011;42;-6.772;39.269;2019-02-01T00:03:26.449379+00:00;P1;18.63
67;SDS011;42;-6.772;39.269;2019-02-01T00:05:56.291165+00:00;P2;6.30
67;SDS011;42;-6.772;39.269;2019-02-01T00:05:56.291165+00:00;P1;23.60
67;SDS011;42;-6.772;39.269;2019-02-01T00:08:25.137206+00:00;P2;5.60
67;SDS011;42;-6.772;39.269;2019-02-01T00:08:25.137206+00:00;P1;23.70
68;DHT22;42;-6.772;39.269;2019-02-01T00:08:26.678694+00:00;humidity;99.90
68;DHT22;42;-6.772;39.269;2019-02-01T00:08:26.678694+00:00;temperature;30.70
67;SDS011;42;-6.772;39.269;2019-02-01T00:10:56.530549+00:00;P2;5.90
67;SDS011;42;-6.772;39.269;2019-02-01T00:10:56.530549+00:00;P1;17.80
67;SDS011;42;-6.772;39.269;2019-02-01T00:13:26.178148+00:00;P2;5.37
67;SDS011;42;-6.772;39.269;2019-02-01T00:13:26.178148+00:00;P1;27.57
67;SDS011;42;-6.772;39.269;2019-02-01T00:15:54.881855+00:00;P2;5.30
67;SDS011;42;-6.772;39.269;2019-02-01T00:15:54.881855+00:00;P1;19.40
68;DHT22;42;-6.772;39.269;2019-02-01T00:15:56.523543+00:00;humidity;99.90
68;DHT22;42;-6.772;39.269;2019-02-01T00:15:56.523543+00:00;temperature;30.70
67;SDS011;42;-6.772;39.269;2019-02-01T00:18:25.192206+00:00;P2;5.50
67;SDS011;42;-6.772;39.269;2019-02-01T00:18:25.192206+00:00;P1;20.10
68;DHT22;42;-6.772;39.269;2019-02-01T00:18:26.810029+00:00;humidity;99.90
68;DHT22;42;-6.772;39.269;2019-02-01T00:18:26.810029+00:00;temperature;30.70
